bias fcst level var
-0.004794515 24 10 10u
0.016429052 48 10 10u
0.032574866 72 10 10u
-0.012265591 120 10 10u
0.5666438 168 10 10u
0.560066 192 10 10u
0.49138376 216 10 10u
0.33549812 240 10 10u
0.45985603 288 10 10u
0.5107919 312 10 10u
0.37013778 336 10 10u
0.23141833 480 10 10u
0.1736859 504 10 10u
0.3295059 528 10 10u
0.1823042 552 10 10u
0.2068332 600 10 10u
0.1724073 624 10 10u
0.17540835 672 10 10u
0.12355045 696 10 10u
0.24479206 720 10 10u
0.17490192 744 10 10u
0.22404672 768 10 10u
0.18604748 792 10 10u
0.022263726 816 10 10u
0.11266215 840 10 10u
