bias fcst level var
0.03110784 24 10 10v
0.027981747 48 10 10v
0.028094212 72 10 10v
-0.012373573 120 10 10v
0.17502354 168 10 10v
0.1686613 192 10 10v
0.0997548 216 10 10v
0.08813364 240 10 10v
0.06145709 288 10 10v
0.18717675 312 10 10v
0.12969789 336 10 10v
0.1352977 480 10 10v
0.15268211 504 10 10v
0.17391826 528 10 10v
0.113927655 552 10 10v
0.12810989 600 10 10v
0.13542072 624 10 10v
0.17569451 672 10 10v
0.13023745 696 10 10v
0.17300417 720 10 10v
0.14638232 744 10 10v
0.1626983 768 10 10v
0.145116 792 10 10v
0.09511682 816 10 10v
0.09882759 840 10 10v
