bias fcst level var
0.06742543 24 2 2t
-0.02192527 48 2 2t
-0.05609288 72 2 2t
-0.049149323 120 2 2t
-0.17322941 168 2 2t
-0.13720278 192 2 2t
-0.2095119 216 2 2t
-0.2465645 240 2 2t
-0.3717187 288 2 2t
-0.46900234 312 2 2t
-0.4813739 336 2 2t
-0.39029074 480 2 2t
-0.30448893 504 2 2t
-0.3092171 528 2 2t
-0.2645782 552 2 2t
-0.35203704 600 2 2t
-0.57052344 624 2 2t
-0.5388987 672 2 2t
-0.47269735 696 2 2t
-0.51011175 720 2 2t
-0.55811685 744 2 2t
-0.542661 768 2 2t
-0.5391976 792 2 2t
-0.5684185 816 2 2t
-0.55415964 840 2 2t
