bias fcst level var
0.629106 24 1000 gh
1.3216242 48 1000 gh
3.3722641 72 1000 gh
3.2681494 120 1000 gh
-3.2970307 168 1000 gh
-4.609772 192 1000 gh
-4.2340713 216 1000 gh
-5.0935736 240 1000 gh
-2.655509 288 1000 gh
-0.84619117 312 1000 gh
3.2822018 336 1000 gh
9.202005 480 1000 gh
9.17097 504 1000 gh
5.034823 528 1000 gh
7.5751753 552 1000 gh
13.081921 600 1000 gh
9.361025 624 1000 gh
10.346615 672 1000 gh
11.967584 696 1000 gh
12.530898 720 1000 gh
16.9194 744 1000 gh
9.844108 768 1000 gh
11.478121 792 1000 gh
10.16467 816 1000 gh
12.9176855 840 1000 gh
