bias fcst level var
0.01668975 24 850 t
-0.08473959 48 850 t
-0.148511 72 850 t
-0.10916048 120 850 t
-0.14057186 168 850 t
-0.1748951 192 850 t
-0.1190493 216 850 t
-0.17995502 240 850 t
-0.2883545 288 850 t
-0.4195779 312 850 t
-0.41080803 336 850 t
-0.21685328 480 850 t
-0.19214846 504 850 t
-0.16367242 528 850 t
-0.14323397 552 850 t
-0.24231419 600 850 t
-0.41567364 624 850 t
-0.4680441 672 850 t
-0.3727857 696 850 t
-0.34496543 720 850 t
-0.4363369 744 850 t
-0.5178242 768 850 t
-0.38833925 792 850 t
-0.51283085 816 850 t
-0.41643173 840 850 t
