bias fcst level var
0.013585306 24 850 u
0.023817793 48 850 u
0.033879552 72 850 u
0.045048423 120 850 u
0.75610083 168 850 u
0.7054298 192 850 u
0.5756613 216 850 u
0.3962075 240 850 u
0.5719484 288 850 u
0.63676894 312 850 u
0.32349652 336 850 u
0.21635133 480 850 u
0.21783353 504 850 u
0.41147125 528 850 u
0.23829278 552 850 u
0.21502598 600 850 u
0.22394043 624 850 u
0.19261007 672 850 u
0.08983528 696 850 u
0.35840794 720 850 u
0.10243812 744 850 u
0.28568122 768 850 u
0.15671557 792 850 u
-0.009076233 816 850 u
0.092423744 840 850 u
