bias fcst level var
-0.06572734 24 250 v
-0.101122506 48 250 v
-0.068891875 72 250 v
-0.045238495 120 250 v
-0.08252318 168 250 v
-0.045567695 192 250 v
-0.060549553 216 250 v
-0.015232239 240 250 v
-0.03607667 288 250 v
-0.09052156 312 250 v
-0.06066713 336 250 v
-0.056662895 480 250 v
-0.08251493 504 250 v
-0.10374177 528 250 v
-0.021753948 552 250 v
-0.092141144 600 250 v
-0.062076647 624 250 v
-0.08633951 672 250 v
-0.08918591 696 250 v
-0.11052984 720 250 v
-0.10088049 744 250 v
-0.093061596 768 250 v
-0.07696674 792 250 v
-0.031122675 816 250 v
-0.06516811 840 250 v
