mae fcst level var
0.8941686 24 10 10u
1.1236697 48 10 10u
1.3947507 72 10 10u
2.0031536 120 10 10u
2.4680426 168 10 10u
2.594669 192 10 10u
2.9456675 216 10 10u
3.1621664 240 10 10u
3.1592379 288 10 10u
3.231759 312 10 10u
3.2822747 336 10 10u
3.2721622 480 10 10u
3.155688 504 10 10u
3.2657468 528 10 10u
3.2693357 552 10 10u
3.3249085 600 10 10u
3.210942 624 10 10u
3.255843 672 10 10u
3.3027186 696 10 10u
3.336331 720 10 10u
3.3050332 744 10 10u
3.2502062 768 10 10u
3.242575 792 10 10u
3.18319 816 10 10u
3.1393363 840 10 10u
