mae fcst level var
0.8956578 24 10 10v
1.1014487 48 10 10v
1.3708857 72 10 10v
2.0176904 120 10 10v
2.3958914 168 10 10v
2.7064633 192 10 10v
2.991575 216 10 10v
3.3600087 240 10 10v
3.1627367 288 10 10v
3.041632 312 10 10v
3.0795581 336 10 10v
3.199994 480 10 10v
3.1563542 504 10 10v
3.158352 528 10 10v
3.1613016 552 10 10v
3.1024811 600 10 10v
3.2099419 624 10 10v
3.2494147 672 10 10v
3.1642036 696 10 10v
3.1757112 720 10 10v
3.1290708 744 10 10v
3.09915 768 10 10v
3.2935054 792 10 10v
3.099692 816 10 10v
3.1484466 840 10 10v
