mae fcst level var
5.219833 24 1000 gh
8.049483 48 1000 gh
11.959918 72 1000 gh
21.145596 120 1000 gh
28.564823 168 1000 gh
33.765236 192 1000 gh
41.255104 216 1000 gh
47.976105 240 1000 gh
47.567978 288 1000 gh
45.78857 312 1000 gh
49.562897 336 1000 gh
49.04625 480 1000 gh
49.6675 504 1000 gh
49.461964 528 1000 gh
48.213146 552 1000 gh
48.937866 600 1000 gh
47.534904 624 1000 gh
50.631176 672 1000 gh
51.76238 696 1000 gh
52.29842 720 1000 gh
52.41375 744 1000 gh
48.087555 768 1000 gh
51.37711 792 1000 gh
45.616493 816 1000 gh
48.51026 840 1000 gh
