mae fcst level var
0.5997692 24 850 t
0.800936 48 850 t
1.0016574 72 850 t
1.621212 120 850 t
2.1489933 168 850 t
2.3926468 192 850 t
2.8555896 216 850 t
3.3177447 240 850 t
3.400786 288 850 t
3.6496518 312 850 t
3.61144 336 850 t
3.767638 480 850 t
3.6503546 504 850 t
3.6757429 528 850 t
3.8067045 552 850 t
3.793379 600 850 t
3.6752117 624 850 t
3.7528927 672 850 t
3.875631 696 850 t
3.8293722 720 850 t
3.861938 744 850 t
3.7326732 768 850 t
3.7865376 792 850 t
3.6996157 816 850 t
3.634138 840 850 t
