mae fcst level var
1.190649 24 850 u
1.5219033 48 850 u
1.8603863 72 850 u
2.7877138 120 850 u
3.7417772 168 850 u
3.90265 192 850 u
4.514204 216 850 u
4.930355 240 850 u
4.9092836 288 850 u
4.904632 312 850 u
5.0135365 336 850 u
5.174761 480 850 u
4.9390626 504 850 u
5.1690745 528 850 u
5.0985603 552 850 u
5.158455 600 850 u
4.9510317 624 850 u
5.068315 672 850 u
5.202284 696 850 u
5.230973 720 850 u
5.1030946 744 850 u
5.0121746 768 850 u
5.163901 792 850 u
5.034117 816 850 u
4.960501 840 850 u
