mae fcst level var
2.027289 24 250 v
2.8438072 48 250 v
3.6004834 72 250 v
5.972144 120 250 v
7.077332 168 250 v
8.283867 192 250 v
9.246333 216 250 v
10.660669 240 250 v
10.421701 288 250 v
10.314286 312 250 v
9.974073 336 250 v
10.847368 480 250 v
10.502934 504 250 v
10.236474 528 250 v
10.792737 552 250 v
10.332808 600 250 v
10.424347 624 250 v
11.251995 672 250 v
10.869047 696 250 v
10.81395 720 250 v
10.631892 744 250 v
10.479791 768 250 v
10.967854 792 250 v
10.607396 816 250 v
10.310855 840 250 v
