rmse fcst level var
1.3554680903980068 24 10 10u
1.710416183130875 48 10 10u
2.1065561179638923 72 10 10u
2.961227845623962 120 10 10u
3.6804395421455673 168 10 10u
3.757828995951969 192 10 10u
4.227100613055657 216 10 10u
4.473292462938722 240 10 10u
4.460930231359008 288 10 10u
4.616702498057072 312 10 10u
4.62269328561723 336 10 10u
4.582901373650796 480 10 10u
4.402188641067414 504 10 10u
4.610630498042273 528 10 10u
4.584811902696279 552 10 10u
4.697330999415136 600 10 10u
4.52710486926407 624 10 10u
4.58361736920261 672 10 10u
4.639599208293603 696 10 10u
4.725687749955874 720 10 10u
4.633662797114006 744 10 10u
4.566308300315504 768 10 10u
4.580277389388673 792 10 10u
4.484230172081498 816 10 10u
4.380202333837053 840 10 10u
