rmse fcst level var
1.289297972471039 24 10 10v
1.5987496586755265 48 10 10v
1.9995317507009378 72 10 10v
3.0069710483406857 120 10 10v
3.331452904224216 168 10 10v
3.7748410475657392 192 10 10v
4.17151517423549 216 10 10v
4.6979388161057445 240 10 10v
4.296695885826494 288 10 10v
4.176495568580793 312 10 10v
4.233335923521997 336 10 10v
4.379747049700513 480 10 10v
4.322112717231482 504 10 10v
4.358696341243103 528 10 10v
4.34205934844009 552 10 10v
4.218560560706187 600 10 10v
4.395645041146838 624 10 10v
4.434174917168348 672 10 10v
4.349832351786383 696 10 10v
4.325373136267475 720 10 10v
4.286025898821785 744 10 10v
4.228024383272508 768 10 10v
4.521382921040503 792 10 10v
4.177646944576608 816 10 10v
4.309740593487536 840 10 10v
