rmse fcst level var
0.8343861525572466 24 2 2t
1.0431228695271142 48 2 2t
1.2158891895807844 72 2 2t
1.788723043029386 120 2 2t
2.349113837012669 168 2 2t
2.3770183218898624 192 2 2t
2.6248807425883713 216 2 2t
3.0145827948291424 240 2 2t
2.9534789181110743 288 2 2t
3.3021806447865965 312 2 2t
3.2656740613838533 336 2 2t
3.458355011163508 480 2 2t
3.2892182012025395 504 2 2t
3.1442030836136934 528 2 2t
3.309904701267051 552 2 2t
3.3938066172223986 600 2 2t
3.2844028402758263 624 2 2t
3.37073261187524 672 2 2t
3.3688653363528767 696 2 2t
3.4458828062652045 720 2 2t
3.6327174676750147 744 2 2t
3.3912196890365394 768 2 2t
3.403445007579335 792 2 2t
3.405140407316926 816 2 2t
3.3897539417461404 840 2 2t
