rmse fcst level var
0.7516820245500399 24 850 t
1.0405536936480615 48 850 t
1.3699601315175678 72 850 t
2.2176104560875274 120 850 t
2.903968489757069 168 850 t
3.2068586221714255 192 850 t
3.816095376604186 216 850 t
4.526657829294768 240 850 t
4.515667238664909 288 850 t
4.908232658834741 312 850 t
4.8180727709147435 336 850 t
4.861608648118536 480 850 t
4.674245583764694 504 850 t
4.667772616172414 528 850 t
4.848139588930468 552 850 t
4.886902583847326 600 850 t
4.769489459980209 624 850 t
4.932197330892618 672 850 t
5.007871725651632 696 850 t
4.939345582249109 720 850 t
5.038997773930231 744 850 t
4.849199146337449 768 850 t
4.927987314839571 792 850 t
4.838647726954456 816 850 t
4.710405259566377 840 850 t
