rmse fcst level var
1.436607415437101 24 850 u
2.040690857085986 48 850 u
2.542661117955064 72 850 u
3.7489955828526957 120 850 u
5.16816472311251 168 850 u
5.289932968205313 192 850 u
5.993104150878846 216 850 u
6.430531405830855 240 850 u
6.33890532613026 288 850 u
6.477727437827951 312 850 u
6.506874557259134 336 850 u
6.603423773762265 480 850 u
6.328119574650452 504 850 u
6.631195626139294 528 850 u
6.585993104747472 552 850 u
6.726608719262668 600 850 u
6.397051799736784 624 850 u
6.615180746018225 672 850 u
6.756912365539172 696 850 u
6.856078031151504 720 850 u
6.612117117341276 744 850 u
6.49298950089182 768 850 u
6.68359004008883 792 850 u
6.511938136020144 816 850 u
6.374541920678405 840 850 u
