rmse fcst level var
1.661222730173102 24 850 v
2.0622712210725136 48 850 v
2.6007664467781906 72 850 v
3.886005646737355 120 850 v
4.331710487096125 168 850 v
4.981331114066676 192 850 v
5.621687358716711 216 850 v
6.490412757573425 240 850 v
5.874614297096316 288 850 v
5.907861883223913 312 850 v
5.940919875000978 336 850 v
6.291361247685349 480 850 v
6.28007686154898 504 850 v
6.107349420940552 528 850 v
6.300349561893434 552 850 v
6.119522136407263 600 850 v
6.293364272661181 624 850 v
6.441844474177577 672 850 v
6.365396484108617 696 850 v
6.1729803326872945 720 850 v
6.186197779634111 744 850 v
6.108352458485028 768 850 v
6.449136531312678 792 850 v
6.036279982355906 816 850 v
6.09633389979767 840 850 v
